iter	Passed	Remaining
333	2269973	4526353
334	2278168	4522334
335	2285497	4516579
336	2292901	4510960
337	2300681	4506067
338	2307317	4498929
339	2313744	4491385
340	2320114	4483740
341	2326526	4476182
342	2332979	4468710
343	2339665	4461687
344	2346499	4454948
345	2353933	4449343
346	2361792	4444526
347	2369942	4440237
348	2377577	4434965
349	2385099	4429469
350	2392605	4423934
351	2399917	4418030
352	2407151	4411974
353	2414790	4406651
354	2421919	4400388
355	2429477	4394897
356	2437398	4390048
357	2445942	4386299
358	2453802	4381302
359	2461087	4375266
360	2468325	4369141
361	2475467	4362840
362	2482806	4356879
363	2490323	4351224
364	2497568	4345084
365	2504571	4338520
366	2512536	4333612
367	2520049	4327910
368	2527614	4322290
369	2535817	4317742
370	2543644	4312539
371	2551416	4307230
372	2559463	4302369
373	2566524	4295839
374	2573382	4288970
375	2580124	4281908
376	2586667	4274519
377	2593470	4267562
378	2600093	4260311
379	2606516	4252737
380	2612987	4245246
381	2619301	4237508
382	2625790	4230059
383	2632080	4222295
384	2638369	4214539
385	2644867	4207121
386	2651192	4199433
387	2657619	4191915
388	2664700	4185429
389	2673523	4181665
390	2680797	4175462
391	2687496	4168361
392	2694140	4161179
393	2701353	4154873
394	2707984	4147673
395	2715713	4142149
396	2723856	4137242
397	2731413	4131434
398	2739184	4125939
399	2748610	4122916
400	2756495	4117557
401	2763351	4110657
402	2772707	4107460
403	2780782	4102342
404	2789512	4098171
405	2797673	4093148
406	2804949	4086818
407	2811966	4080107
408	2818777	4073099
409	2825167	4065485
410	2831804	4058230
411	2838173	4050597
412	2844731	4043238
413	2850955	4035410
414	2857313	4027779
415	2864128	4020796
416	2870721	4013502
417	2877464	4006421
418	2886372	4002344
419	2894350	3996960
420	2901197	3990007
421	2908267	3983361
422	2916098	3977751
423	2923915	3972111
424	2931126	3965642
425	2938821	3959820
426	2946265	3953653
427	2954705	3948812
428	2962387	3942944
429	2970017	3936999
430	2976895	3930054
431	2984693	3924319
432	2992460	3918533
433	3000120	3912599
434	3007853	3906752
435	3015694	3901035
436	3023278	3894978
437	3030561	3888528
438	3037880	3882121
439	3045028	3875490
440	3051974	3868603
441	3059144	3861997
442	3066355	3855440
443	3074537	3850096
444	3081989	3843829
445	3088698	3836633
446	3095468	3829516
447	3102432	3822640
448	3109709	3816146
449	3116536	3809100
450	3123227	3801889
451	3129665	3794373
452	3135998	3786736
453	3145995	3783510
454	3153579	3777364
455	3161348	3771433
456	3169366	3765789
457	3176600	3759208
458	3184472	3753375
459	3192135	3747289
460	3199503	3740851
461	3207083	3734655
462	3214700	3728496
463	3221865	3721809
464	3228589	3714614
465	3236198	3708433
466	3244479	3703013
467	3252417	3697192
468	3260895	3691973
469	3267927	3685109
470	3275023	3678317
471	3282111	3671514
472	3288854	3664326
473	3295649	3657197
474	3302275	3649883
475	3308672	3642319
476	3315053	3634744
477	3321933	3627718
478	3328536	3620391
479	3334903	3612812
480	3341725	3605729
481	3348592	3598694
482	3355090	3591266
483	3361789	3584057
484	3368347	3576698
485	3375188	3569643
486	3382931	3563539
487	3390525	3557273
488	3398507	3551405
489	3405294	3544286
490	3413469	3538607
491	3422465	3533765
492	3432037	3529498
493	3441254	3524847
494	3449736	3519428
495	3456921	3512678
496	3464372	3506195
497	3471437	3499320
498	3479287	3493232
499	3486985	3486985
500	3494015	3480067
501	3501116	3473219
502	3507468	3465629
503	3513927	3458150
504	3520095	3450390
505	3526505	3442872
506	3534124	3436535
507	3541160	3429627
508	3548559	3423070
509	3555454	3416025
510	3562622	3409241
511	3570099	3402750
512	3577608	3396287
513	3585323	3390014
514	3592956	3383657
515	3600321	3377045
516	3607343	3370110
517	3614904	3363675
518	3622455	3357227
519	3630020	3350787
520	3636771	3343595
521	3643746	3336611
522	3650773	3329672
523	3657242	3322227
524	3664120	3315156
525	3670734	3307847
526	3677744	3300898
527	3684791	3293980
528	3691965	3287174
529	3698749	3280022
530	3705786	3273095
531	3712137	3265564
532	3718613	3258146
533	3725059	3250707
534	3731607	3243359
535	3738254	3236101
536	3744805	3228761
537	3751968	3221950
538	3759012	3215036
539	3766007	3208080
540	3773535	3201576
541	3781633	3195549
542	3790185	3189898
543	3797360	3183081
544	3804494	3176229
545	3811737	3169466
546	3818422	3162240
547	3825034	3154955
548	3832306	3148214
549	3839707	3141578
550	3846666	3134579
551	3852558	3126713
552	3858723	3119076
553	3864566	3111185
554	3870724	3103553
555	3877035	3096049
556	3882922	3088212
557	3888883	3080441
558	3894996	3072796
559	3901087	3065140
560	3907071	3057405
561	3913081	3049696
562	3919051	3041963
563	3924968	3034195
564	3930950	3026483
565	3936915	3018765
566	3942876	3011050
567	3948721	3003253
568	3954635	2995514
569	3960481	2987731
570	3966621	2980176
571	3972653	2972544
572	3979128	2965249
573	3985924	2958195
574	3992332	2950854
575	3998156	2943087
576	4005429	2936389
577	4012444	2929500
578	4019087	2922341
579	4025733	2915186
580	4032317	2907987
581	4038829	2900739
582	4045351	2893501
583	4051574	2886052
584	4058172	2878874
585	4064888	2871781
586	4071594	2864682
587	4077673	2857145
588	4084458	2850105
589	4090710	2842697
590	4097290	2835518
591	4103881	2828350
592	4110325	2821083
593	4117560	2814359
594	4123959	2807065
595	4131081	2800263
596	4137634	2793076
597	4143852	2785666
598	4150278	2778399
599	4156636	2771090
600	4163289	2763980
601	4170028	2756929
602	4176618	2749780
603	4182868	2742410
604	4188820	2734849
605	4194980	2727429
606	4200768	2719772
607	4206692	2712209
608	4212641	2704668
609	4219726	2697858
610	4227937	2691763
611	4234918	2684882
612	4241974	2678049
613	4248783	2671059
614	4255259	2663861
615	4261458	2656493
616	4267995	2649339
617	4274145	2641947
618	4280253	2634534
619	4286339	2627111
620	4292778	2619908
621	4299085	2612627
622	4305106	2605176
623	4311890	2598190
624	4318168	2590901
625	4324207	2583472
626	4330214	2576028
627	4336531	2568773
628	4342601	2561375
629	4348610	2553945
630	4354606	2546513
631	4360679	2539129
632	4366527	2531620
633	4372438	2524152
634	4378361	2516695
635	4384261	2509231
636	4390418	2501918
637	4396274	2494437
638	4402207	2487006
639	4408132	2479574
640	4414282	2472273
641	4420385	2464950
642	4426350	2457553
643	4432416	2450217
644	4438381	2442830
645	4444364	2435456
646	4450343	2428085
647	4456492	2420810
648	4462527	2413477
649	4468378	2406050
650	4474346	2398689
651	4480378	2391367
652	4486532	2384114
653	4492586	2376811
654	4498530	2369455
655	4504487	2362109
656	4510455	2354773
657	4516613	2347540
658	4522922	2340389
659	4528982	2333112
660	4534942	2325787
661	4541051	2318542
662	4547216	2311330
663	4553268	2304063
664	4559515	2296898
665	4565318	2289514
666	4571299	2282222
667	4577234	2274912
668	4583350	2267696
669	4589328	2260415
670	4595315	2253142
671	4601344	2245894
672	4607320	2238623
673	4613341	2231378
674	4619588	2224246
675	4625564	2216986
676	4631570	2209744
677	4637713	2202572
678	4643718	2195336
679	4649763	2188123
680	4655934	2180973
681	4661811	2173689
682	4667889	2166501
683	4673880	2159278
684	4680004	2152119
685	4685922	2144868
686	4691888	2137643
687	4697813	2130403
688	4703958	2123267
689	4710001	2116087
690	4716249	2109003
691	4722424	2101888
692	4728476	2094722
693	4734521	2087555
694	4740769	2080481
695	4746950	2073380
696	4753115	2066275
697	4759068	2059081
698	4765254	2051990
699	4771155	2044780
700	4777163	2037620
701	4783145	2030452
702	4789195	2023315
703	4795237	2016179
704	4801057	2008953
705	4807085	2001817
706	4812926	1994607
707	4818871	1987444
708	4824902	1980319
709	4831127	1973277
710	4837155	1966157
711	4843299	1959087
712	4849391	1951999
713	4855566	1944946
714	4861548	1937819
715	4867531	1930696
716	4873577	1923601
717	4879693	1916537
718	4885706	1909434
719	4891734	1902341
720	4897762	1895250
721	4903701	1888128
722	4909789	1881067
723	4915635	1873916
724	4921552	1866795
725	4927563	1859714
726	4933525	1852616
727	4939406	1845492
728	4945553	1838470
729	4951494	1831374
730	4957890	1824449
731	4964214	1817499
732	4970304	1810465
733	4976207	1803366
734	4982144	1796283
735	4988260	1789267
736	4994113	1782159
737	5000045	1775083
738	5006255	1768109
739	5012159	1761029
740	5018240	1754014
741	5024216	1746964
742	5030290	1739952
743	5036477	1732981
744	5042438	1725935
745	5048424	1718900
746	5054836	1712012
747	5060793	1704973
748	5066887	1697982
749	5072833	1690944
750	5078897	1683948
751	5084895	1676933
752	5091011	1669959
753	5097077	1662972
754	5102999	1655940
755	5110171	1649314
756	5117047	1642592
757	5123429	1635712
758	5129722	1628805
759	5136234	1621968
760	5143132	1615254
761	5149645	1608419
762	5156074	1601559
763	5162386	1594663
764	5169825	1588116
765	5176539	1581345
766	5185251	1575180
767	5194542	1569184
768	5203758	1563157
769	5214110	1557461
770	5223518	1551473
771	5232144	1545244
772	5241545	1539237
773	5253588	1533993
774	5262950	1527953
775	5270659	1521427
776	5277578	1514671
777	5285323	1508151
778	5293046	1501621
779	5300236	1494938
780	5307465	1488264
781	5315517	1481819
782	5323434	1475332
783	5332935	1469278
784	5342198	1463150
785	5350540	1456762
786	5359818	1450624
787	5368831	1444406
788	5377163	1437999
789	5384469	1431314
790	5392006	1424689
791	5399461	1418040
792	5407084	1411433
793	5414760	1404837
794	5421654	1398036
795	5429210	1391405
796	5436420	1384684
797	5443330	1377885
798	5450970	1371270
799	5458555	1364638
800	5466663	1358134
801	5474506	1351561
802	5482605	1345047
803	5491055	1338615
804	5499309	1332130
805	5508090	1325768
806	5515812	1319147
807	5524999	1312871
808	5534108	1306569
809	5542033	1299983
810	5550322	1293478
811	5558435	1286928
812	5566345	1280328
813	5574140	1273697
814	5582212	1267128
815	5590100	1260512
816	5598171	1253935
817	5606111	1247325
818	5614222	1240749
819	5622427	1234191
820	5630324	1227561
821	5638169	1220917
822	5646395	1214352
823	5654462	1207749
824	5662638	1201165
825	5670410	1194493
826	5678662	1187918
827	5686700	1181295
828	5694950	1174712
829	5702395	1167960
830	5710609	1161363
831	5718635	1154724
832	5727008	1148151
833	5735227	1141544
834	5743329	1134909
835	5751933	1128369
836	5760546	1121826
837	5768583	1115167
838	5775497	1108289
839	5782018	1101336
840	5788549	1094386
841	5795122	1087445
842	5801298	1080431
843	5807596	1073442
844	5814028	1066478
845	5820421	1059509
846	5826904	1052557
847	5833268	1045585
848	5839425	1038578
849	5845839	1031618
850	5852249	1024659
851	5858547	1017681
852	5864893	1010714
853	5871220	1003744
854	5877379	996748
855	5883625	989768
856	5889882	982792
857	5896325	975848
858	5902988	968942
859	5909282	961976
860	5915732	955037
861	5922189	948099
862	5928476	941137
863	5935181	934241
864	5941823	927336
865	5948364	920416
866	5955013	913514
867	5962709	906771
